epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.75274,1.38505,4.19091,1.50398,0.22265,0.16205,0.10395,0.04022,0.89578,2.80691,1.09243,0.00026,0.00026,0.00026
2,20.5426,1.01193,2.24304,1.16867,0.02855,0.73913,0.02677,0.0151,1.53421,inf,11.1674,0.000538664,0.000538664,0.000538664
3,31.6365,0.86572,1.36787,1.07033,0.00015,0.04348,8e-05,2e-05,nan,nan,nan,0.000815941,0.000815941,0.000815941
4,42.4425,0.86143,1.23147,1.05551,0.00172,0.04348,0.001,0.00076,nan,nan,nan,0.00109183,0.00109183,0.00109183
5,53.1751,0.82562,1.00014,1.05963,0.00172,0.04348,0.001,0.00076,nan,nan,nan,0.00136634,0.00136634,0.00136634
6,63.9055,0.62868,0.86132,0.91121,0.00172,0.04348,0.001,0.00076,nan,nan,nan,0.00163946,0.00163946,0.00163946
7,74.5675,0.65845,0.80736,0.88912,0.0093,0.80435,0.01085,0.00469,nan,nan,nan,0.00191119,0.00191119,0.00191119
8,85.2905,0.56515,0.68462,0.83157,0.01042,0.02174,0.00132,0.00119,nan,nan,nan,0.00196535,0.00196535,0.00196535
9,95.9167,0.53259,0.63366,0.81832,0.01303,0.41304,0.007,0.00294,nan,nan,nan,0.0019604,0.0019604,0.0019604
10,106.681,0.4748,0.51975,0.77143,0.0274,0.52174,0.02562,0.01519,1.5779,159.932,5.07879,0.00195545,0.00195545,0.00195545
11,117.333,0.4499,0.46636,0.76027,0.09737,0.13043,0.04558,0.02897,nan,nan,nan,0.0019505,0.0019505,0.0019505
12,128.086,0.41872,0.46708,0.73242,0.07298,0.43478,0.06604,0.02091,3.09053,6.00993,5.45244,0.00194555,0.00194555,0.00194555
13,138.786,0.38463,0.42779,0.71219,0.00984,0.67391,0.00936,0.00462,1.80044,234.163,2.53716,0.0019406,0.0019406,0.0019406
14,149.557,0.38248,0.4103,0.70751,0.02091,0.58696,0.02009,0.01454,0.92806,155.009,1.615,0.00193565,0.00193565,0.00193565
15,160.241,0.37596,0.38436,0.70005,0.04586,0.69565,0.0528,0.03831,0.80194,48.0936,1.218,0.0019307,0.0019307,0.0019307
16,170.906,0.32833,0.3515,0.6574,0.46727,0.47826,0.52087,0.38295,0.93413,2.5174,1.21502,0.00192575,0.00192575,0.00192575
17,182.616,0.3045,0.28521,0.65921,0.24279,0.56522,0.18898,0.14089,1.11841,4.93848,1.42276,0.0019208,0.0019208,0.0019208
18,193.299,0.2942,0.27927,0.65598,0.59587,0.23913,0.27296,0.22751,2.06233,3.29119,2.10167,0.00191585,0.00191585,0.00191585
19,204.026,0.30304,0.2985,0.64485,0.72866,0.36957,0.44886,0.4108,1.32823,2.28201,1.40193,0.0019109,0.0019109,0.0019109
20,215.79,0.27449,0.25742,0.63535,0.96961,0.6937,0.82884,0.75016,0.48175,0.92087,0.82185,0.00190595,0.00190595,0.00190595
21,227.504,0.24901,0.24492,0.62776,0.80946,0.73884,0.83251,0.71793,0.53706,1.16113,0.87746,0.001901,0.001901,0.001901
22,238.159,0.23082,0.23433,0.61581,0.87093,0.69565,0.79605,0.68963,0.60775,1.00887,0.98142,0.00189605,0.00189605,0.00189605
23,248.769,0.21845,0.20587,0.60853,0.93643,0.76087,0.88092,0.77546,0.46273,0.63339,0.80299,0.0018911,0.0018911,0.0018911
24,260.512,0.21033,0.20562,0.60246,0.97287,0.77958,0.87376,0.80936,0.42785,0.55121,0.76582,0.00188615,0.00188615,0.00188615
25,272.194,0.204,0.20381,0.60065,0.97037,0.80435,0.89437,0.81333,0.40157,0.45985,0.7695,0.0018812,0.0018812,0.0018812
26,283.946,0.18478,0.18012,0.59216,0.9956,0.80435,0.91668,0.83925,0.39676,0.47304,0.76186,0.00187625,0.00187625,0.00187625
27,295.651,0.18063,0.17472,0.58909,0.98672,0.84783,0.9197,0.8447,0.38574,0.47911,0.76198,0.0018713,0.0018713,0.0018713
28,307.408,0.16119,0.16382,0.58504,1,0.82368,0.89399,0.8331,0.37663,0.45928,0.74411,0.00186635,0.00186635,0.00186635
29,318.001,0.16025,0.1547,0.58488,0.971,0.82609,0.87542,0.82291,0.40713,0.49152,0.79394,0.0018614,0.0018614,0.0018614
30,328.657,0.15884,0.1565,0.5879,0.96824,0.82609,0.86907,0.82681,0.41342,0.59083,0.77174,0.00185645,0.00185645,0.00185645
31,339.296,0.16536,0.15505,0.58044,0.9719,0.82609,0.86261,0.81098,0.41536,0.54762,0.79696,0.0018515,0.0018515,0.0018515
32,349.946,0.16323,0.15814,0.57984,0.97425,0.82247,0.89924,0.84119,0.344,0.42076,0.72731,0.00184655,0.00184655,0.00184655
33,360.618,0.14012,0.15228,0.57341,0.99498,0.82609,0.90506,0.83713,0.33619,0.36788,0.72527,0.0018416,0.0018416,0.0018416
34,371.355,0.13079,0.1358,0.5695,0.99466,0.82609,0.92028,0.85926,0.34856,0.35901,0.73338,0.00183665,0.00183665,0.00183665
35,383.025,0.12396,0.12862,0.56702,1,0.84712,0.90587,0.85556,0.33175,0.3865,0.73027,0.0018317,0.0018317,0.0018317
36,393.715,0.13479,0.13766,0.56741,1,0.84654,0.92602,0.86437,0.36722,0.40521,0.74923,0.00182675,0.00182675,0.00182675
37,405.416,0.13431,0.13993,0.57181,0.9053,0.86957,0.91518,0.85586,0.34794,0.38594,0.74759,0.0018218,0.0018218,0.0018218
38,416.058,0.12372,0.12713,0.56716,0.92851,0.84783,0.92331,0.86219,0.35514,0.42586,0.74686,0.00181685,0.00181685,0.00181685
39,426.647,0.12475,0.12512,0.56636,0.94994,0.8251,0.90321,0.86381,0.32395,0.39432,0.70936,0.0018119,0.0018119,0.0018119
40,437.33,0.12501,0.13237,0.56992,0.97316,0.82609,0.90882,0.86421,0.35489,0.45117,0.7592,0.00180695,0.00180695,0.00180695
41,447.915,0.11424,0.11993,0.56978,1,0.82246,0.89007,0.84972,0.31591,0.45246,0.71067,0.001802,0.001802,0.001802
42,458.571,0.10903,0.12021,0.56082,1,0.8234,0.90014,0.84679,0.33206,0.45833,0.7282,0.00179705,0.00179705,0.00179705
43,469.231,0.10034,0.11461,0.56079,0.97552,0.86647,0.90582,0.84754,0.33466,0.43589,0.73607,0.0017921,0.0017921,0.0017921
44,479.939,0.10033,0.10951,0.55996,0.9966,0.82609,0.93259,0.85859,0.32591,0.34901,0.72452,0.00178715,0.00178715,0.00178715
45,490.623,0.10443,0.11347,0.56238,0.97356,0.84783,0.91654,0.85757,0.32719,0.34661,0.73085,0.0017822,0.0017822,0.0017822
46,501.268,0.10616,0.11393,0.55758,0.99777,0.82609,0.89902,0.85824,0.30229,0.38419,0.70836,0.00177725,0.00177725,0.00177725
47,511.831,0.10037,0.10942,0.56533,1,0.8247,0.8966,0.85752,0.29982,0.39761,0.70214,0.0017723,0.0017723,0.0017723
48,522.473,0.09341,0.1051,0.55701,0.99767,0.82609,0.9053,0.85382,0.31211,0.40101,0.71291,0.00176735,0.00176735,0.00176735
49,533.091,0.08992,0.10431,0.55813,0.99801,0.82609,0.88805,0.84359,0.34173,0.50598,0.72713,0.0017624,0.0017624,0.0017624
50,543.701,0.08443,0.09679,0.55576,0.99631,0.82609,0.91333,0.85969,0.3318,0.37652,0.724,0.00175745,0.00175745,0.00175745
51,554.303,0.09828,0.10556,0.56499,0.99702,0.82609,0.92021,0.87803,0.30656,0.35585,0.70936,0.0017525,0.0017525,0.0017525
52,566.067,0.09365,0.10153,0.55595,1,0.8025,0.92484,0.87779,0.336,0.40347,0.73212,0.00174755,0.00174755,0.00174755
53,577.78,0.09187,0.10232,0.55877,0.99125,0.82609,0.9142,0.87076,0.33671,0.40758,0.73008,0.0017426,0.0017426,0.0017426
54,588.407,0.0836,0.09676,0.55475,1,0.803,0.91619,0.87699,0.30501,0.41691,0.71935,0.00173765,0.00173765,0.00173765
55,599.007,0.0822,0.09606,0.55887,0.99221,0.82609,0.90401,0.86444,0.30599,0.42515,0.71012,0.0017327,0.0017327,0.0017327
56,609.606,0.07895,0.09112,0.56111,1,0.82214,0.89465,0.85953,0.30892,0.44184,0.72861,0.00172775,0.00172775,0.00172775
57,620.178,0.081,0.09237,0.55965,0.99589,0.80435,0.89467,0.85454,0.32496,0.47609,0.72515,0.0017228,0.0017228,0.0017228
