epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.79784,2.32206,8.78211,2.04352,0.28274,0.32609,0.19077,0.11459,1.22119,7.5417,1.17877,0.00012,0.00012,0.00012
2,8.09969,2.23593,8.01911,2.00812,0.87354,0.56522,0.73631,0.40505,1.39481,6.94629,1.19606,0.000259357,0.000259357,0.000259357
3,12.6812,1.67858,3.69222,1.68001,0.69479,0.6087,0.70772,0.37501,1.58696,4.51478,1.4104,0.00039802,0.00039802,0.00039802
4,17.1364,1.60517,2.52786,1.639,0.74612,0.44741,0.61276,0.21444,1.71879,3.98329,1.67199,0.000535991,0.000535991,0.000535991
5,21.5505,1.62498,1.93889,1.64864,0.39131,0.47521,0.38207,0.1697,2.32483,3.58964,2.12278,0.000673268,0.000673268,0.000673268
6,25.951,1.74359,1.92395,1.77601,0.00725,0.02174,0.00099,0.00037,3.69588,67.9025,15.1541,0.000809853,0.000809853,0.000809853
7,30.3207,1.77173,1.90925,1.76851,0.00559,0.82609,0.00555,0.00209,3.47331,inf,154.884,0.000945744,0.000945744,0.000945744
8,34.6184,1.75311,1.74472,1.74393,0.00627,0.67391,0.00839,0.00259,3.72718,inf,116.488,0.00108094,0.00108094,0.00108094
9,38.8812,1.68724,1.72984,1.7385,0.00569,0.65217,0.00483,0.00123,4.23379,inf,43.2883,0.00121545,0.00121545,0.00121545
10,43.2022,1.61388,1.6279,1.62186,0.0043,0.76087,0.00514,0.00124,3.83781,inf,76.1904,0.00134926,0.00134926,0.00134926
11,47.5055,1.73941,1.7202,1.73097,0.02191,0.41304,0.01463,0.00666,3.45586,inf,84.9134,0.00148238,0.00148238,0.00148238
12,51.8173,1.70368,1.63647,1.71695,0.01623,0.08696,0.00552,0.00134,3.63491,9.60079,10.2031,0.00161481,0.00161481,0.00161481
13,56.095,1.73219,1.72432,1.74344,0.22464,0.1087,0.09158,0.03698,3.51436,4.0921,6.10271,0.00174654,0.00174654,0.00174654
14,60.3204,1.75362,1.69004,1.72868,0.79648,0.02174,0.06237,0.02162,4.03722,5.53016,5.06779,0.00187758,0.00187758,0.00187758
15,64.4788,1.68566,1.65882,1.71327,0.79648,0.02174,0.06237,0.02162,0,0,0,0.0019307,0.0019307,0.0019307
16,68.7314,1.72501,1.7035,1.75455,0.79648,0.02174,0.06237,0.02162,nan,nan,nan,0.00192575,0.00192575,0.00192575
17,72.942,1.73019,1.69533,1.72872,0.793,0.02174,0.12217,0.08052,nan,nan,nan,0.0019208,0.0019208,0.0019208
18,77.155,1.65558,1.79519,1.66595,0.793,0.02174,0.12217,0.08052,0,0,0,0.00191585,0.00191585,0.00191585
19,81.3745,1.6389,1.59618,1.63729,0.793,0.02174,0.12217,0.08052,2.36925,52.2812,16.5472,0.0019109,0.0019109,0.0019109
20,85.7018,1.61944,1.53849,1.62173,0.793,0.02174,0.12217,0.08052,5.70141,46.6069,11.6964,0.00190595,0.00190595,0.00190595
21,89.9344,1.56914,1.50205,1.59776,0.793,0.02174,0.12217,0.08052,4.39536,15.8813,3.49533,0.001901,0.001901,0.001901
22,94.2265,1.63986,1.42179,1.63818,0.1082,0.06522,0.03883,0.0106,3.50403,5.77792,3.70508,0.00189605,0.00189605,0.00189605
23,98.4804,1.66781,1.53176,1.6546,0.06074,0.08696,0.03546,0.00997,3.51147,6.04972,3.82972,0.0018911,0.0018911,0.0018911
24,102.799,1.60636,1.39448,1.62043,0.12391,0.08696,0.01944,0.0092,3.57505,5.1612,3.73289,0.00188615,0.00188615,0.00188615
25,107.038,1.54428,1.36852,1.55284,0.4373,0.23913,0.19203,0.09291,2.6075,2.96082,2.66922,0.0018812,0.0018812,0.0018812
26,111.29,1.6102,1.50206,1.60426,0.39812,0.02174,0.02766,0.00553,5.09509,5.47378,5.78033,0.00187625,0.00187625,0.00187625
27,115.537,1.58878,1.56486,1.60731,0.25961,0.28261,0.15081,0.06928,3.477,3.28491,3.38506,0.0018713,0.0018713,0.0018713
28,119.851,1.52236,1.3225,1.58934,0.46754,0.36957,0.36464,0.16764,2.54356,2.50319,2.53689,0.00186635,0.00186635,0.00186635
29,124.138,1.54394,1.40469,1.58857,0.50238,0.32609,0.30863,0.14581,2.62532,3.01397,2.4799,0.0018614,0.0018614,0.0018614
30,128.446,1.56494,1.42618,1.59513,0.81523,0.67146,0.79486,0.50843,1.42825,2.72272,1.37046,0.00185645,0.00185645,0.00185645
31,132.818,1.53401,1.37525,1.5617,0.4673,0.52174,0.49693,0.1593,2.17832,4.8679,2.06385,0.0018515,0.0018515,0.0018515
32,137.173,1.53685,1.39927,1.55435,0.71331,0.75732,0.81712,0.53205,1.36429,3.01421,1.31996,0.00184655,0.00184655,0.00184655
33,141.549,1.55013,1.31779,1.54726,0.60856,0.64227,0.6947,0.343,2.00042,4.39139,1.83213,0.0018416,0.0018416,0.0018416
34,145.839,1.50754,1.24979,1.54738,0.71568,0.71739,0.80228,0.55119,1.60246,2.77676,1.42335,0.00183665,0.00183665,0.00183665
35,150.197,1.54454,1.31091,1.59115,0.59391,0.60416,0.5756,0.2881,1.54585,2.6516,1.72243,0.0018317,0.0018317,0.0018317
36,154.521,1.60228,1.37871,1.6434,0.72173,0.41304,0.50582,0.30888,1.6276,2.27782,1.5853,0.00182675,0.00182675,0.00182675
37,158.815,1.52399,1.36362,1.53254,0.43748,0.35518,0.30772,0.11909,2.3096,6.01802,2.10642,0.0018218,0.0018218,0.0018218
38,163.129,1.4134,1.22144,1.4641,0.47953,0.41304,0.33669,0.16157,2.14313,2.52902,1.82099,0.00181685,0.00181685,0.00181685
39,167.415,1.44647,1.21667,1.50653,0.17231,0.08696,0.0459,0.00924,3.77906,6.79624,3.14452,0.0018119,0.0018119,0.0018119
40,171.723,1.50189,1.29913,1.53972,0.45064,0.28261,0.26387,0.10758,2.77031,2.9672,2.41967,0.00180695,0.00180695,0.00180695
41,175.982,1.49892,1.31208,1.54638,0.32188,0.26087,0.20053,0.08258,2.39274,5.02233,2.18863,0.001802,0.001802,0.001802
42,180.268,1.40896,1.16817,1.47275,0.78693,0.64245,0.77775,0.47776,1.56172,1.96097,1.49126,0.00179705,0.00179705,0.00179705
43,184.561,1.44799,1.30391,1.50784,0.79487,0.73913,0.88098,0.63262,1.33983,1.31638,1.25931,0.0017921,0.0017921,0.0017921
44,188.936,1.49711,1.31113,1.57147,0.73102,0.82715,0.87199,0.59641,1.41703,1.2722,1.27096,0.00178715,0.00178715,0.00178715
45,193.202,1.42142,1.17125,1.48932,0.92841,0.84581,0.9435,0.64648,1.29809,1.05101,1.20963,0.0017822,0.0017822,0.0017822
46,197.591,1.49512,1.27845,1.53854,0.81124,0.65217,0.75978,0.49673,1.27144,2.14227,1.30115,0.00177725,0.00177725,0.00177725
47,201.838,1.45988,1.32436,1.51171,0.88571,0.80435,0.88088,0.65762,1.08336,1.17787,1.15703,0.0017723,0.0017723,0.0017723
48,206.287,1.45164,1.20911,1.51349,0.82829,0.83903,0.8837,0.65561,1.15994,1.13624,1.22472,0.00176735,0.00176735,0.00176735
49,210.587,1.42377,1.2083,1.47153,0.84819,0.85028,0.92327,0.68812,1.08019,0.98253,1.14356,0.0017624,0.0017624,0.0017624
50,214.973,1.40909,1.21324,1.47675,0.91475,0.84783,0.93804,0.7098,1.06626,1.25312,1.08031,0.00175745,0.00175745,0.00175745
51,219.332,1.43192,1.19186,1.47031,0.71737,0.78261,0.84974,0.5973,1.22881,1.75162,1.25389,0.0017525,0.0017525,0.0017525
52,223.631,1.44509,1.20916,1.50034,0.94962,0.81966,0.91882,0.62738,1.24036,1.55722,1.2388,0.00174755,0.00174755,0.00174755
53,227.879,1.39967,1.159,1.48046,0.85301,0.75704,0.89359,0.61374,1.2501,1.59846,1.24124,0.0017426,0.0017426,0.0017426
54,232.168,1.39875,1.08227,1.46816,0.79213,0.80435,0.84671,0.53112,1.35212,1.29317,1.29649,0.00173765,0.00173765,0.00173765
