epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.75945,1.4792,13.4962,1.38607,0.29544,0.34783,0.17366,0.10543,1.22679,7.62531,1.18287,0.00012,0.00012,0.00012
2,7.94579,1.36457,12.7349,1.31932,0.77411,0.36957,0.43373,0.31436,1.02121,4.28676,1.07236,0.000259357,0.000259357,0.000259357
3,12.4623,0.88801,4.71972,1.03067,0.73898,0.36929,0.44848,0.3001,1.36836,6.46747,1.21093,0.00039802,0.00039802,0.00039802
4,16.8415,0.64147,1.77181,0.92104,0.44229,0.5,0.33541,0.25286,1.33055,13.259,1.33955,0.000535991,0.000535991,0.000535991
5,21.2267,0.57459,1.03408,0.87977,0.39087,0.36957,0.27304,0.16433,1.79485,16.572,1.72326,0.000673268,0.000673268,0.000673268
6,25.5799,0.5115,0.73915,0.85718,0.03321,0.3913,0.02664,0.01137,2.16051,131.728,3.12257,0.000809853,0.000809853,0.000809853
7,29.915,0.48064,0.59913,0.8417,0.00738,0.04348,0.00314,0.00086,3.26497,220.304,6.8694,0.000945744,0.000945744,0.000945744
8,34.1793,0.4663,0.54344,0.83809,0.06868,0.28261,0.07516,0.02204,2.50317,22.5976,2.84185,0.00108094,0.00108094,0.00108094
9,38.4119,0.45507,0.47919,0.82706,0.17535,0.06522,0.04805,0.02908,2.54285,13.2322,2.74996,0.00121545,0.00121545,0.00121545
10,42.6721,0.39129,0.41482,0.80072,0.00895,0.41304,0.01028,0.00373,2.53999,239.619,3.35708,0.00134926,0.00134926,0.00134926
11,46.8786,0.3766,0.41625,0.80009,0.02422,0.13043,0.0165,0.00445,nan,nan,nan,0.00148238,0.00148238,0.00148238
12,51.1721,0.33873,0.39834,0.79646,0.00298,0.06522,0.00122,0.00053,nan,nan,nan,0.00161481,0.00161481,0.00161481
13,55.3857,0.33108,0.34823,0.79066,0.00753,0.17391,0.00266,0.00122,3.61417,63.1518,6.46105,0.00174654,0.00174654,0.00174654
14,59.6299,0.30287,0.32077,0.7861,0.15726,0.15217,0.16209,0.09676,2.9619,52.8831,4.38286,0.00187758,0.00187758,0.00187758
15,63.87,0.31858,0.30298,0.78294,0.59121,0.26087,0.28843,0.2023,2.26551,8.31165,2.88391,0.0019307,0.0019307,0.0019307
16,68.1133,0.30111,0.30074,0.78159,0.2646,0.32609,0.16931,0.12038,2.15877,4.91111,2.08978,0.00192575,0.00192575,0.00192575
17,72.3404,0.27446,0.25759,0.77498,0.33084,0.30435,0.21605,0.13248,2.06592,5.665,1.92743,0.0019208,0.0019208,0.0019208
18,76.5717,0.27788,0.26851,0.77452,0.27263,0.23913,0.16983,0.12506,2.13778,3.90724,2.07855,0.00191585,0.00191585,0.00191585
19,80.7625,0.26924,0.25363,0.77502,0.46022,0.32609,0.37114,0.25812,1.78263,4.7864,1.76358,0.0019109,0.0019109,0.0019109
20,84.9994,0.25095,0.24964,0.77026,0.45693,0.6087,0.50746,0.38374,1.19095,3.91224,1.21409,0.00190595,0.00190595,0.00190595
21,89.3053,0.23874,0.23995,0.76544,0.66978,0.41304,0.45259,0.35201,1.22045,4.75591,1.24937,0.001901,0.001901,0.001901
22,93.5636,0.22214,0.21852,0.76316,0.69489,0.30435,0.38945,0.32308,1.41014,4.43713,1.35118,0.00189605,0.00189605,0.00189605
23,97.7697,0.21813,0.21514,0.76322,0.59801,0.54348,0.59799,0.46089,1.20671,3.48547,1.22699,0.0018911,0.0018911,0.0018911
24,102.118,0.22047,0.20767,0.76612,0.43892,0.6087,0.51012,0.38518,1.29777,3.01966,1.33365,0.00188615,0.00188615,0.00188615
25,106.351,0.20599,0.21411,0.76283,0.61004,0.6122,0.6547,0.5161,1.29203,1.7737,1.29184,0.0018812,0.0018812,0.0018812
