epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2968,1.51374,4.14514,1.65696,0.01108,0.20779,0.00595,0.00138,2.83785,18.4453,2.60377,0.00026,0.00026,0.00026
2,21.5032,1.80216,3.78685,1.88215,0.1103,0.15584,0.05395,0.02486,1.86663,3.44644,2.25065,0.000537327,0.000537327,0.000537327
3,33.9056,1.96134,3.00606,2.12205,0.00307,0.88312,0.00333,0.0015,nan,nan,nan,0.000811882,0.000811882,0.000811882
4,45.0386,2.06397,2.81761,2.1536,0.00307,0.88312,0.00333,0.0015,nan,nan,nan,0.00108366,0.00108366,0.00108366
5,56.1285,2.0427,2.54136,2.17023,0.00307,0.88312,0.00333,0.0015,nan,nan,nan,0.00135268,0.00135268,0.00135268
6,67.2831,2.08373,2.8738,2.21023,0.00307,0.88312,0.00333,0.0015,nan,nan,nan,0.00161892,0.00161892,0.00161892
7,78.384,2.00892,2.54583,2.05568,0.00307,0.88312,0.00333,0.0015,nan,nan,nan,0.00188238,0.00188238,0.00188238
8,89.4016,2.04046,2.41827,2.09454,0.00307,0.88312,0.00333,0.0015,nan,nan,nan,0.0019307,0.0019307,0.0019307
9,100.372,1.90365,2.34144,2.06995,0.00307,0.88312,0.00333,0.0015,nan,nan,nan,0.0019208,0.0019208,0.0019208
10,111.414,1.84189,2.1404,1.99405,0.00307,0.88312,0.00333,0.0015,nan,nan,nan,0.0019109,0.0019109,0.0019109
11,122.374,1.95982,2.47621,2.08251,0.00307,0.88312,0.00333,0.0015,nan,nan,nan,0.001901,0.001901,0.001901
12,133.481,1.87821,2.33445,2.02699,0.00307,0.88312,0.00333,0.0015,nan,nan,nan,0.0018911,0.0018911,0.0018911
13,144.512,1.716,2.12933,1.86797,0.08572,0.1039,0.02112,0.01355,nan,nan,nan,0.0018812,0.0018812,0.0018812
14,155.623,1.78299,2.16135,1.91099,0.16097,0.01299,0.00539,0.00054,nan,nan,nan,0.0018713,0.0018713,0.0018713
15,166.641,1.64676,1.93677,1.77698,0.16097,0.01299,0.00539,0.00054,nan,nan,nan,0.0018614,0.0018614,0.0018614
16,177.676,1.66722,2.06576,1.86748,0.16097,0.01299,0.00539,0.00054,nan,nan,nan,0.0018515,0.0018515,0.0018515
17,188.956,1.62149,1.91664,1.8465,0.08492,0.12987,0.02692,0.01082,nan,nan,nan,0.0018416,0.0018416,0.0018416
18,200.153,1.53848,1.78695,1.71826,0.36333,0.54545,0.48327,0.3073,1.09238,12.4841,1.46858,0.0018317,0.0018317,0.0018317
19,212.291,1.54964,1.90414,1.78723,0.19957,0.37662,0.29029,0.19424,1.2939,12.8217,1.60733,0.0018218,0.0018218,0.0018218
20,223.58,1.67332,2.04747,1.83933,0.24013,0.37662,0.23221,0.10805,1.74828,10.7114,2.0175,0.0018119,0.0018119,0.0018119
21,234.668,1.4789,1.71987,1.65277,0.40289,0.44156,0.3943,0.25695,1.49918,4.67987,1.76708,0.001802,0.001802,0.001802
22,245.831,1.56651,1.83849,1.74875,0.68604,0.48052,0.52377,0.35232,1.32875,3.90812,1.66266,0.0017921,0.0017921,0.0017921
23,257.965,1.47137,1.75686,1.69041,0.87692,0.37662,0.48938,0.35395,1.25821,2.23901,1.48751,0.0017822,0.0017822,0.0017822
24,269.069,1.53472,1.75679,1.72815,0.29541,0.18182,0.13992,0.09398,2.81456,3.88524,3.32196,0.0017723,0.0017723,0.0017723
25,280.159,1.50771,1.64831,1.70671,0.75376,0.44156,0.57739,0.42881,1.21466,3.50926,1.48222,0.0017624,0.0017624,0.0017624
26,292.384,1.46786,1.6315,1.66907,0.40975,0.32468,0.32061,0.21222,1.90773,3.38996,2.08631,0.0017525,0.0017525,0.0017525
27,303.732,1.50229,1.71551,1.69101,0.76017,0.4117,0.55407,0.36143,1.4751,3.27651,1.65336,0.0017426,0.0017426,0.0017426
28,314.858,1.40684,1.60338,1.63402,0.62584,0.49351,0.52315,0.34845,1.29592,2.44857,1.47651,0.0017327,0.0017327,0.0017327
29,325.915,1.53861,1.64295,1.70112,0.51122,0.54336,0.53299,0.3416,1.5443,2.10154,1.74304,0.0017228,0.0017228,0.0017228
30,337.068,1.49352,1.72156,1.686,0.6736,0.53247,0.61945,0.44541,1.22383,1.55534,1.45755,0.0017129,0.0017129,0.0017129
31,349.186,1.3574,1.52632,1.60932,0.86804,0.63636,0.75703,0.57218,0.95101,2.11593,1.11381,0.001703,0.001703,0.001703
32,361.359,1.31261,1.53712,1.58122,0.69197,0.55844,0.65323,0.47081,1.06887,1.7892,1.24601,0.0016931,0.0016931,0.0016931
33,372.503,1.39094,1.53755,1.60106,0.73891,0.49351,0.57234,0.40469,1.16735,1.99848,1.36374,0.0016832,0.0016832,0.0016832
34,383.64,1.36434,1.45748,1.59849,0.56629,0.58442,0.57722,0.39389,1.17766,1.83104,1.36635,0.0016733,0.0016733,0.0016733
35,394.716,1.4359,1.52914,1.63822,0.85009,0.54545,0.72984,0.55632,0.93508,1.46181,1.1347,0.0016634,0.0016634,0.0016634
36,405.852,1.29997,1.46603,1.55707,0.93073,0.58442,0.73865,0.5685,0.95014,1.10131,1.13458,0.0016535,0.0016535,0.0016535
37,416.94,1.33677,1.53086,1.56663,0.89637,0.66234,0.83884,0.6378,0.9007,1.71322,1.11114,0.0016436,0.0016436,0.0016436
38,429.153,1.27737,1.41291,1.53982,0.5994,0.44156,0.4448,0.2445,1.54104,2.43296,1.67704,0.0016337,0.0016337,0.0016337
39,440.2,1.46187,1.70331,1.70201,0.57718,0.44322,0.49947,0.35438,1.40618,1.91117,1.60941,0.0016238,0.0016238,0.0016238
