epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.33583,1.54177,12.1142,1.48321,0.26761,0.28571,0.14099,0.08059,1.18279,7.17113,1.16809,0.00012,0.00012,0.00012
2,8.83104,1.54262,11.7291,1.50534,0.35811,0.41558,0.33536,0.22445,0.98297,3.85655,1.04929,0.000258713,0.000258713,0.000258713
3,13.6299,1.27757,4.9745,1.30929,0.77692,0.5974,0.69982,0.43425,1.31242,6.6858,1.15292,0.00039604,0.00039604,0.00039604
4,18.3212,1.20318,2.54836,1.22743,0.64333,0.64935,0.6448,0.4077,1.28138,3.1245,1.3154,0.000531981,0.000531981,0.000531981
5,22.8854,1.2884,1.97455,1.30441,0.22786,0.54545,0.18703,0.114,1.31557,2.79843,1.55317,0.000666536,0.000666536,0.000666536
6,27.4035,1.37935,1.78384,1.36294,0.00834,0.67532,0.00828,0.00248,3.43491,inf,20.016,0.000799705,0.000799705,0.000799705
7,31.9782,1.39147,1.55855,1.32984,0.0076,0.44156,0.00588,0.0017,4.76063,inf,43.8194,0.000931488,0.000931488,0.000931488
8,36.4181,1.37242,1.44604,1.34209,0.00663,0.36364,0.00378,0.00131,3.64686,inf,18.4889,0.00106188,0.00106188,0.00106188
9,40.8612,1.37578,1.51446,1.39442,0.00203,0.19481,0.00123,0.00033,5.06935,606.641,145.897,0.0011909,0.0011909,0.0011909
10,45.3097,1.32353,1.52128,1.40465,0.0099,0.33766,0.00818,0.00155,nan,nan,nan,0.00131852,0.00131852,0.00131852
11,49.7097,1.2457,1.26359,1.29892,0.00671,0.50649,0.00543,0.00146,nan,nan,nan,0.00144476,0.00144476,0.00144476
12,54.185,1.27195,1.2424,1.28868,0.01277,0.32468,0.00867,0.00147,nan,nan,nan,0.00156961,0.00156961,0.00156961
13,58.5617,1.32864,1.33604,1.36262,0.02905,0.09091,0.02089,0.00238,nan,nan,nan,0.00169308,0.00169308,0.00169308
14,62.9367,1.32942,1.29952,1.33153,0.02105,0.02597,0.01227,0.00422,2.70522,4.71646,7.30632,0.00181516,0.00181516,0.00181516
15,67.3351,1.41694,1.5145,1.39981,0.01449,0.36364,0.00862,0.00236,nan,nan,nan,0.0018614,0.0018614,0.0018614
16,71.7831,1.49106,1.62615,1.41496,0.01153,0.12987,0.00615,0.00182,nan,nan,nan,0.0018515,0.0018515,0.0018515
17,76.1664,1.46691,1.59988,1.38423,0.00149,0.01299,0.00079,8e-05,nan,nan,nan,0.0018416,0.0018416,0.0018416
18,80.5861,1.34792,1.40902,1.3292,0.0148,0.06494,0.00392,0.00154,nan,nan,nan,0.0018317,0.0018317,0.0018317
19,85.0159,1.38626,1.31215,1.33831,0.01608,0.53247,0.01251,0.00331,nan,nan,nan,0.0018218,0.0018218,0.0018218
20,89.4975,1.25378,1.19954,1.26553,0.01519,0.07792,0.02002,0.00641,nan,nan,nan,0.0018119,0.0018119,0.0018119
21,93.897,1.26487,1.2054,1.27714,0.01757,0.22078,0.0082,0.00244,nan,nan,nan,0.001802,0.001802,0.001802
22,98.3465,1.22255,1.21125,1.25953,0.25661,0.42857,0.35033,0.22475,1.53659,6.70621,1.60705,0.0017921,0.0017921,0.0017921
23,102.785,1.12762,1.09456,1.19441,0.46459,0.55844,0.55753,0.32183,1.27793,5.15664,1.30994,0.0017822,0.0017822,0.0017822
24,107.232,1.17412,1.06539,1.23024,0.21774,0.24675,0.11748,0.02966,2.66524,3.53617,2.71968,0.0017723,0.0017723,0.0017723
25,111.654,1.15592,1.06615,1.21228,0.66322,0.48052,0.5502,0.3551,1.25947,1.96219,1.46581,0.0017624,0.0017624,0.0017624
26,116.073,1.08757,0.97876,1.17445,0.77302,0.51948,0.60297,0.39559,1.44172,1.55833,1.52671,0.0017525,0.0017525,0.0017525
27,120.502,1.19796,1.01977,1.23138,0.57073,0.31169,0.38369,0.2262,1.76399,1.82797,2.00041,0.0017426,0.0017426,0.0017426
28,124.961,1.13099,1.03306,1.17039,0.73071,0.67532,0.61527,0.3905,1.31744,1.33229,1.38152,0.0017327,0.0017327,0.0017327
29,129.354,1.1214,0.94598,1.17941,0.42865,0.55539,0.46218,0.2366,1.56777,2.04259,1.65001,0.0017228,0.0017228,0.0017228
30,133.834,1.09145,1.03296,1.1793,0.64924,0.57697,0.64012,0.3815,1.46402,1.5634,1.55365,0.0017129,0.0017129,0.0017129
31,138.294,1.15776,1.02843,1.20094,0.83754,0.5974,0.69214,0.44919,1.25026,1.76559,1.32529,0.001703,0.001703,0.001703
32,142.866,1.08242,0.92459,1.16333,0.46593,0.45455,0.41543,0.24357,1.54454,1.80331,1.55511,0.0016931,0.0016931,0.0016931
33,147.322,1.08141,0.98832,1.17919,0.79114,0.58442,0.70532,0.50238,1.01247,1.73568,1.12924,0.0016832,0.0016832,0.0016832
34,151.896,1.03389,0.95077,1.15583,0.32542,0.36364,0.25844,0.12869,1.96234,3.5083,1.77423,0.0016733,0.0016733,0.0016733
35,156.321,1.10119,0.92419,1.18206,0.78498,0.68831,0.76658,0.48878,1.21645,1.80219,1.24545,0.0016634,0.0016634,0.0016634
36,160.805,1.08067,0.96166,1.14566,0.61929,0.38961,0.4264,0.23329,1.55076,2.60633,1.52098,0.0016535,0.0016535,0.0016535
37,165.23,1.08537,0.97495,1.21007,0.79582,0.54545,0.65932,0.48208,0.95038,1.82045,1.09353,0.0016436,0.0016436,0.0016436
38,169.697,1.03428,0.90824,1.13223,0.90409,0.73456,0.8143,0.56514,1.11774,1.40688,1.15058,0.0016337,0.0016337,0.0016337
39,174.268,0.98768,0.84911,1.09981,0.90944,0.61039,0.74081,0.50738,1.07686,1.03277,1.1699,0.0016238,0.0016238,0.0016238
40,178.753,1.03394,0.85913,1.15634,0.6653,0.54216,0.55552,0.31789,1.21872,1.71114,1.28345,0.0016139,0.0016139,0.0016139
41,183.224,0.972,0.80866,1.09985,0.61314,0.55844,0.51055,0.27401,1.37322,1.76756,1.3544,0.001604,0.001604,0.001604
42,187.678,0.967,0.76763,1.10142,0.44582,0.53283,0.46673,0.2754,1.12196,1.73603,1.19171,0.0015941,0.0015941,0.0015941
43,192.11,1.03569,0.92528,1.15194,0.59961,0.23377,0.25055,0.13946,1.86867,3.07486,1.68714,0.0015842,0.0015842,0.0015842
44,196.563,0.97473,0.82069,1.10139,0.56835,0.25974,0.30743,0.16389,1.47706,2.64057,1.45491,0.0015743,0.0015743,0.0015743
45,200.979,0.95702,0.81448,1.13135,0.8468,0.71429,0.78628,0.59787,0.9168,1.03873,1.08136,0.0015644,0.0015644,0.0015644
46,205.592,0.93002,0.76301,1.10645,0.85245,0.80519,0.90135,0.69107,0.88561,0.94606,1.0311,0.0015545,0.0015545,0.0015545
47,210.159,0.87581,0.72856,1.05482,0.92172,0.84416,0.93215,0.70992,0.83792,1.0426,1.05891,0.0015446,0.0015446,0.0015446
48,214.786,0.96641,0.78733,1.09113,0.85976,0.87013,0.94393,0.72592,0.81102,0.79153,0.99696,0.0015347,0.0015347,0.0015347
